Commodity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Bananas,1.05,1.099,1.132,1.144,1.103,1.055,1.013,0.999,0.987,1.001,1.012,1.015
Oranges,1.018,0.99,0.984,0.989,0.997,1.002,1.004,1.004,1.006,1.007,1.01,1.013
Cotton,1.034,1.042,1.045,1.039,1.042,1.038,1.034,1.023,1.018,1.015,1.01,1.009
Rice,1.057,1.023,1.01,1.004,0.997,0.99,0.994,0.997,0.993,0.988,0.986,0.988
Lamb,0.991,0.998,0.997,0.992,0.989,0.988,0.991,0.995,0.998,0.997,0.997,0.996
Hides,0.974,0.99,0.997,1.003,1.011,1.019,1.024,1.03,1.037,1.046,1.052,1.052
Fishmeal,0.992,0.99,0.994,0.99,0.991,0.99,0.985,0.984,0.986,0.988,0.991,0.992
Groundnut Oil,1.021,1.017,1.012,1.006,1.007,1.015,1.018,1.022,1.022,1.022,1.016,1.011
Groundnuts,0.994,0.994,0.993,0.993,0.997,0.999,1,0.999,0.999,1,0.998,0.996
Olive Oil,1.026,1.008,1.001,1.002,1,0.999,1,0.997,0.995,0.996,0.997,0.996
Palm Oil,1.036,1.038,1.014,1.004,1.003,1.007,1.013,1.016,1.017,1.015,1.012,1.013
Rapeseed Oil,0.981,0.989,1,0.996,1,1.006,1.008,1.006,1.007,1.005,0.997,0.991
Soybean Oil,0.988,1.007,1.007,1.004,1.004,1.004,1.006,1.007,1.005,1.002,0.999,0.999
Rubber,1.042,1.034,1.025,1.028,1.033,1.037,1.044,1.054,1.057,1.054,1.051,1.052
Hard Sawnwood,1.004,0.999,0.995,0.995,0.997,0.999,0.999,1,0.998,0.999,1.001,1.002
Plywood,1.003,0.981,0.987,0.987,0.99,0.994,0.996,0.998,1.001,1.002,1.004,1.004
Soft Logs,1.006,1.013,1.002,0.996,0.995,0.998,0.992,0.995,1.002,0.999,0.998,1.002
Soft Sawnwood,0.974,0.986,0.992,1.002,1.002,1.014,1.002,0.999,0.995,0.99,0.993,0.99
Diammonium Phosphate,1.009,0.999,0.996,0.994,0.996,0.999,1.002,1.003,1.004,1.004,1.007,1.008
Urea,1.021,1.023,1.027,1.023,1.016,1.016,1.02,1.023,1.039,1.049,1.048,1.047
Aluminum,1.04,1.027,1.012,1.003,1,0.998,0.995,0.993,0.993,0.991,0.991,0.994
Gold,0.957,0.982,0.998,0.996,0.991,0.991,0.992,0.996,0.996,0.996,0.996,0.996
Lead,1.036,1.025,1.032,1.027,1.025,1.025,1.028,1.025,1.022,1.021,1.018,1.018
Platinum,1.019,1.01,1.011,1.008,1,0.993,0.993,0.994,0.99,0.986,0.986,0.984
Uran,1.023,0.995,0.966,0.95,0.945,0.979,1.022,1.054,1.062,1.054,1.041,1.03
