Commodity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Bananas,1,0.999,0.998,0.992,0.987,1.007,1.025,1.018,1.012,1.003,1.012,1.037
Oranges,1,0.976,0.955,0.968,0.984,0.99,0.989,0.993,0.991,0.984,0.975,0.963
Cotton,1,1.005,1.003,1.002,1.015,1.03,1.023,1.023,1.03,1.022,1.016,1.022
Rice,1,0.993,0.996,1.004,1.011,1.011,1.012,1.008,1.018,1.026,1.028,1.015
Lamb,1,0.999,1.005,1,0.975,0.972,0.976,0.979,0.984,0.988,0.989,0.99
Hides,1,0.994,0.996,0.996,1.001,0.998,0.996,1.001,1.005,1.004,1.002,1.004
Fishmeal,1,1.002,1.002,0.996,0.995,0.998,1,1.002,1.003,1.005,1.011,1
Groundnut Oil,1,1.005,1.009,1.013,1.019,1.022,1.025,1.019,1.016,1.016,1.026,1.029
Groundnuts,1,0.999,0.999,0.999,0.996,0.996,0.997,0.997,0.999,0.998,0.997,0.994
Olive Oil,1,0.993,0.99,0.984,0.994,0.992,0.984,0.986,0.981,0.982,0.986,0.988
Palm Oil,1,0.993,1,1.009,1.011,1.01,1.002,0.997,0.989,0.986,0.99,0.997
Rapeseed Oil,1,0.999,1.002,1.003,1.002,0.998,1.002,0.999,0.997,1,0.996,1.003
Soybean Oil,1,0.997,1.01,1.012,1.023,1.02,1.021,1.02,1.024,1.024,1.024,1.023
Rubber,1,0.999,1.001,1.001,1.004,1.016,1.012,1.006,1.003,0.994,1.005,1.006
Hard Sawnwood,1,0.998,0.989,0.971,0.974,0.977,0.982,0.986,0.978,0.984,0.979,0.984
Plywood,1,0.998,0.996,0.996,0.984,0.983,0.976,0.978,0.976,0.973,0.975,0.962
Soft Logs,1,1.001,1.003,0.997,1.001,1.003,1.007,0.978,0.982,0.988,1.003,0.981
Soft Sawnwood,1,1,1.001,1.057,1.089,1.061,1.04,1.048,1.045,1.035,1.022,1.051
Diammonium Phosphate,1,1.009,1.021,1.03,1.015,1.008,1,1.01,1.014,1.021,1.016,1.019
Urea,1,0.988,1.006,1.018,1.037,1.019,1.025,0.997,1.009,1.01,0.991,0.988
Aluminum,1,0.994,0.992,1.016,1.01,1.005,1.006,1.006,0.997,0.997,0.999,1.002
Gold,1,1.002,1.001,1,1.001,1.001,1.001,1.004,1.004,1.004,1.004,1.002
Lead,1,0.998,1.004,1.001,0.989,0.999,0.988,1.001,1.003,0.995,0.992,0.997
Platinum,1,0.996,0.997,0.996,0.999,0.992,0.999,1.007,1.002,1.001,0.997,0.997
Uran,1,1.003,1.022,1.039,1.017,0.996,0.973,0.975,0.982,0.992,1.007,1.012
