Commodity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Bananas,1.05,1.198,1.172,1.077,1.065,1.074,1.036,1.201,1.086,1.019,1.045,1.01
Oranges,1.018,1.004,0.987,0.957,0.967,0.974,0.994,1,0.993,0.986,1.024,1.015
Cotton,1.034,1.024,1.001,0.992,0.977,0.981,0.99,1.002,1.03,1.04,1.045,1.044
Rice,1.057,0.994,0.988,1.009,0.987,0.99,1.004,1.02,1.026,1.054,1.063,1.036
Lamb,0.991,0.993,0.986,0.981,0.977,0.977,0.974,0.978,0.994,0.995,0.999,0.991
Hides,0.974,1.005,0.983,1.006,1.012,0.989,0.993,0.998,1.002,1.009,1.009,1.001
Fishmeal,0.992,0.984,0.975,0.972,0.974,0.969,0.962,0.956,0.965,0.973,0.979,0.968
Groundnut Oil,1.021,1.015,1.014,0.996,0.98,0.989,0.99,0.99,0.993,0.994,0.998,1.003
Groundnuts,0.994,1.003,1.005,1.016,1.018,1.033,1.041,1.035,1.038,1.049,1.035,1.022
Olive Oil,1.026,1,1.008,1.005,1.027,1.015,1.016,1.023,1.009,1.013,1.026,1.021
Palm Oil,1.036,1.024,1.03,1.004,1.021,1.015,1.02,1.014,1.018,0.988,1.009,1.017
Rapeseed Oil,0.981,0.994,1.011,1.014,1.033,1.025,1.028,1.018,1.028,1.04,1.049,1.054
Soybean Oil,0.988,1.022,1.035,1.04,1.04,1.051,1.052,1.052,1.057,1.064,1.073,1.07
Rubber,1.042,1.02,1.022,1.024,1.019,1.022,1.022,1.03,1.02,0.995,1.017,1.018
Hard Sawnwood,1.004,0.984,0.986,0.988,1.006,1.02,0.968,0.949,0.95,0.948,0.951,0.951
Plywood,1.003,0.984,1.001,1.023,0.992,1.016,1.014,1.009,1.013,1.003,1.01,1.027
Soft Logs,1.006,1.017,1.001,1.008,0.997,1.006,1.008,0.991,1.008,0.983,1.027,0.975
Soft Sawnwood,0.974,0.998,1.011,1.046,1.023,1.033,0.998,1.004,1.048,0.998,1.038,1.025
Diammonium Phosphate,1.009,1.01,1.009,1.026,1.022,1.017,1.031,0.997,1.012,1.013,1.013,1.007
Urea,1.021,1.028,1.009,1.012,1.059,1.027,1.022,1.004,1.019,1.016,1.002,1
Aluminum,1.04,1.035,1.014,1.034,1.031,1.012,1.05,1.039,0.99,0.995,1.04,0.99
Gold,0.957,0.987,1,0.999,0.99,0.993,0.995,0.995,0.993,0.992,0.992,0.99
Lead,1.036,1.025,0.995,0.99,0.996,1.034,1.03,0.992,0.969,0.966,0.953,0.96
Platinum,1.019,1.012,1.03,1.026,0.995,1.005,1.014,1.021,1.008,1.009,1,1.006
Uran,1.023,0.936,0.937,0.996,0.961,0.981,1.013,1.032,1.021,1.024,1.039,1.027
